64 64 32
-1.1052677299770919e-21 -6.9957331946824713e-21 -8.7510367197747760e-21 -1.3184364733898704e-28
-1.0719792033113977e-21 1.4565646794617380e-20 -9.1220911013582210e-21 -4.0828994211704196e-27
-1.0331380734254059e-21 -8.8000784747398679e-21 -9.5342841141671975e-21 1.3621048894907626e-27
-9.7971640881284180e-22 2.9191586816522422e-20 -1.0041457891184803e-20 1.1529600449768671e-28
-8.9637887712040419e-22 5.9457743410064865e-21 -1.0631300678251723e-20 4.8542240756594432e-28
-7.1074536335750921e-22 2.3334446664118206e-19 -1.1300698404084898e-20 -1.9707582447133124e-28
1.3345057586645180e-19 1.3251708778210775e-17 -5.7874543652548314e-17 1.8713645895900253e-21
8.3828198532011758e-20 -3.6778486228514817e-17 -2.1462035552414343e-17 1.4669046626837579e-20
-5.5428360351098161e-20 -1.6900004044177159e-17 -1.3309339080892273e-17 4.6819574347359117e-21
-1.2330973813174872e-19 -6.2305434055656818e-18 -7.3189153221605870e-18 9.1120127114933602e-21
-1.3394021836947459e-19 4.7024891415541555e-18 -6.2094748601894159e-18 3.8650460112232770e-21
-7.5054089215997969e-20 1.1198550067887406e-18 -1.3884585914431998e-18 -6.5508480303493528e-21
-1.1358334838669506e-19 -2.7667166265881660e-18 2.6014456218329124e-18 -3.7330646449975915e-21
-9.5659572330061233e-20 3.4462864574248564e-18 1.3351155380148229e-18 -1.8093413828266529e-21
-5.7923744114226759e-20 2.1013826790542939e-19 1.9333577980962168e-18 -1.7620754880096642e-21
-5.9402784016667795e-20 3.6350619098450324e-19 3.1068300794057534e-19 -1.0586189859519590e-22
-3.7937727180416542e-20 1.2005933060468556e-18 1.3479895980727127e-19 -2.3640957723271864e-22
-1.7474028919552087e-20 1.4602933618564769e-19 -3.2994453865913444e-19 4.0361706308265446e-22
-2.8595190039824587e-20 -5.1695794927116311e-19 2.2183479522206469e-20 6.0275606238804499e-23
-2.9899214204724504e-20 2.8474031703848919e-19 2.4827768891368662e-19 1.4355153147551852e-22
-2.6825315013329686e-20 -1.2450080376647795e-19 1.6213851698149466e-19 1.3235101316943775e-22
-2.9052771572265998e-20 6.5652049284365252e-20 2.9572370532196660e-20 3.8263471333469691e-23
-2.5303995394816544e-20 1.1476459463366893e-19 1.3285304373305102e-20 1.8750734044556255e-23
-1.9775548240737920e-20 1.7563631886604207e-19 -2.9341633712245079e-20 -2.1803589345693488e-23
-1.4984605254083847e-20 8.3595360833664707e-20 4.2233557887806576e-21 -1.5617379181716336e-23
-1.1348465403324143e-20 8.4444236159605768e-20 1.9147690999218696e-20 -1.7536870210764732e-24
-1.0593649663643923e-20 -2.5967594558503832e-20 3.6380284577748934e-21 2.0899776492871194e-24
-1.0055259644789161e-20 4.8571485066428676e-20 -2.2395520194109405e-21 1.9617145543985715e-24
-9.0933341227824183e-21 -3.6598661128532017e-21 9.1975047769294293e-22 1.0299917434091903e-23
-8.1319116161995441e-21 4.6447738836106990e-20 -6.1661634493506680e-21 1.0288299302860876e-23
-7.0224370419730166e-21 1.1576232494272581e-21 -3.0350844756935435e-21 1.1533832370970931e-23
-6.2464453667326326e-21 3.3496550112945373e-20 -3.9428395669216413e-21 8.8322991219039896e-24
-5.4643360443412643e-21 -1.9053508282902362e-22 -2.3319160288097236e-21 3.3427061739523738e-24
-4.7859163920093229e-21 2.8519990391094150e-20 -3.5261443576531198e-21 1.0046844039280234e-24
-4.1392734754470466e-21 -1.8184089831781296e-21 -1.7365540533712312e-21 1.5331230502931322e-24
-3.6776523986677035e-21 2.0877286738629999e-20 -2.6079314535176441e-21 9.7908428634856624e-25
-3.2880026986356750e-21 -4.4734335143774601e-21 -1.9572429647777140e-21 1.6037746946344972e-24
-2.9755281200267617e-21 1.6748686907161715e-20 -2.1789138016570844e-21 1.1585344410175844e-24
-2.7278611772377014e-21 -6.0246421144413504e-21 -2.2519342539033099e-21 5.5483046650320188e-25
-2.5109309699100156e-21 1.4404965374791477e-20 -1.5422677701891293e-21 1.2481225207073938e-25
-2.3316445256323812e-21 -6.7366675905115034e-21 -2.2756712224836809e-21 3.9708843794499179e-25
-2.1939715522991354e-21 1.2252690141713752e-20 -2.3132432692042268e-21 3.6012470502619965e-26
-2.0713632125659189e-21 -7.0488850308447907e-21 -2.3615232603050039e-21 1.3608653227634393e-25
-1.9822918909532361e-21 1.0765811814584856e-20 -2.2338573360702533e-21 -1.9103089310539325e-25
-1.8952810783841148e-21 -6.9700943827706565e-21 -2.2586728551895616e-21 -1.1545537214180151e-26
-1.8185185904472640e-21 1.0194963860635032e-20 -2.3295389693314407e-21 -1.9951958867634868e-25
-1.7473033334054504e-21 -6.9427376823781890e-21 -2.3292003199444766e-21 2.1279378683149281e-26
-1.6796654231367448e-21 9.8504732174626485e-21 -2.3515067667420133e-21 -2.0382364775696594e-25
-1.6315392229259526e-21 -7.6078666913988376e-21 -2.3560693737302115e-21 -1.1220948162815752e-25
-1.6023370146426039e-21 9.0818908584368536e-21 -2.2954995471793106e-21 -2.0524690630030540e-25
-1.5777311828871222e-21 -7.9116662707209380e-21 -2.4021713087944699e-21 -8.3098064308671218e-26
-1.5491267116935702e-21 9.5074492371636727e-21 -2.4124820340078100e-21 -1.3268328774720832e-25
-1.5127938579570507e-21 -7.8207487103682451e-21 -2.4821057464182838e-21 -4.8406407207550325e-26
-1.4785460826746082e-21 9.9663685195810815e-21 -2.5049277945678671e-21 -1.1435067483994179e-25
-1.4423664992187538e-21 -8.2055590812926434e-21 -2.5569237524470345e-21 -7.3215674629736379e-27
-1.4088190061718062e-21 1.0654497872808250e-20 -2.5681375374964888e-21 -6.1448514335337905e-26
-1.3709600199477368e-21 -8.7025701333344657e-21 -2.6454011584485551e-21 6.5065550253105482e-27
-1.3344846117516885e-21 1.1755805318316999e-20 -2.7085577563536521e-21 -3.1516414824893751e-26
-1.2978930043219814e-21 -9.7761019140743680e-21 -2.7826427435973138e-21 2.5314876404384577e-26
-1.2672981254368519e-21 1.3028304006709426e-20 -2.8542890009344497e-21 -1.2077096653370916e-26
-1.2399666896138487e-21 -1.1674026623565237e-20 -2.9483577783770215e-21 8.9719773132362698e-27
-1.2160842183643252e-21 1.5268630920929300e-20 -3.0072420995756969e-21 -2.2210597292180596e-26
-1.1898471072000059e-21 -1.4075868207267256e-20 -3.1309665403483856e-21 -5.2490625086106767e-27
-1.1613510509899715e-21 1.9683782431265079e-20 -3.2314420690425139e-21 -1.7486073485966071e-26
-1.1304133691480284e-21 -1.8242193176380470e-20 -3.3599869370500141e-21 -6.3148188756229596e-27
-1.0981896632688975e-21 2.7976376976614822e-20 -3.5014255164926018e-21 -6.7341324792930304e-27
-1.0605659698311454e-21 -2.6197157476422777e-20 -3.6715242239960830e-21 -5.8496712582891020e-28
-1.0086024417636539e-21 5.2920995859425629e-20 -3.8665197562661357e-21 -7.6051508518843555e-28
-9.2699136731404477e-22 -3.4425681504886776e-20 -4.1046730807394302e-21 8.5880466494726839e-28
-7.4333461263119207e-22 3.5135465985274942e-19 -4.3813202291939798e-21 -2.4917214535597706e-28
-1.0328329684792133e-19 8.9142198580254267e-18 -7.8703298151456860e-18 -2.0913398607424091e-22
