64 64 32
1.1792438131954131e-06 9.0091970101746828e-07 -3.2004622422552358e-08 3.7057691442375640e-22
1.1909463063830168e-06 1.0619594518294521e-06 -3.2212739905925624e-08 -1.1133851044963753e-21
1.2074623520090301e-06 1.2567602602804719e-06 -3.2480961230760967e-08 2.2052635130663718e-21
1.2301223733829191e-06 1.4839739955878918e-06 -3.2828956642919912e-08 -3.7620174258911699e-21
1.2603991749682709e-06 1.7387585855061119e-06 -3.3281692438171660e-08 -2.3624278294514470e-21
1.2997733505933205e-06 2.0106932049025301e-06 -3.3856971244371908e-08 1.3234889800848443e-22
1.3495114828973500e-06 2.2828366758745214e-06 -3.4543362327406262e-08 -5.3005733652398013e-21
1.4103894914419360e-06 2.5334121950355962e-06 -3.5278773206055281e-08 2.0547166415817207e-21
1.4824498822776143e-06 2.7403330213961133e-06 -3.5946248552184546e-08 -4.5660369812927128e-21
1.5648987163013648e-06 2.8867938259293315e-06 -3.6396322648957509e-08 -5.8597474593256480e-21
1.6561976517350158e-06 2.9652266693542305e-06 -3.6487675050910261e-08 -3.2127694991559595e-21
1.7543183175777759e-06 2.9779642510895108e-06 -3.6125641272895775e-08 4.4138357485829557e-21
1.8570626916604274e-06 2.9349396955728346e-06 -3.5281543372557682e-08 -1.5683344414005405e-21
1.9623489454159608e-06 2.8500385811622952e-06 -3.3989241158594791e-08 -3.4774672951729283e-21
2.0684028999630019e-06 2.7377139406695002e-06 -3.2326595128953125e-08 -4.7347818262535304e-21
2.1738443783759214e-06 2.6107193767409567e-06 -3.0392666243919521e-08 6.5512704514199792e-22
2.2776900826117942e-06 2.4790571870638882e-06 -2.8288451994085874e-08 -6.8325118596880086e-21
2.3793054098088812e-06 2.3498294429488821e-06 -2.6104318620620351e-08 -1.5451733842490557e-21
2.4783340375468379e-06 2.2275959004368983e-06 -2.3913907496515386e-08 -5.5321839367546491e-21
2.5746249921049409e-06 2.1149264142655713e-06 -2.1772779947698874e-08 -6.0880493083902837e-21
2.6681679632520339e-06 2.0129585315110752e-06 -1.9719869438910098e-08 2.8322664173815668e-21
2.7590411118796237e-06 1.9218712713423362e-06 -1.7780221776577980e-08 1.2348152184191597e-20
2.8473717217729432e-06 1.8412491998617926e-06 -1.5968041561759613e-08 5.2343989162355591e-21
2.9333081418436394e-06 1.7703431971299233e-06 -1.4289513097368046e-08 2.4021324988539924e-21
3.0170008076988388e-06 1.7082468909092493e-06 -1.2745167145579053e-08 -1.8925892415213273e-21
3.0985901418322484e-06 1.6540097827243274e-06 -1.1331744669761830e-08 3.4079841237184740e-21
3.1781994361835287e-06 1.6067055189935007e-06 -1.0043597006354852e-08 -2.1969917069408415e-21
3.2559312093942240e-06 1.5654697906159200e-06 -8.8736989437842155e-09 -2.3690452743518713e-21
3.3318659012093274e-06 1.5295184858075093e-06 -7.8143561260172827e-09 -5.0954325733266505e-22
3.4060620777235079e-06 1.4981535350135483e-06 -6.8576818057951897e-09 -2.3690452743518713e-21
3.4785575651474148e-06 1.4707614696334778e-06 -5.9959042037175040e-09 -8.1394572275217923e-22
3.5493711125305743e-06 1.4468079802355654e-06 -5.2215535057061354e-09 -3.0969642133985356e-21
3.6185043163999335e-06 1.4258305567480426e-06 -4.5275649295573441e-09 1.3195185131445897e-20
3.6859436340032202e-06 1.4074304855305001e-06 -3.9073253357269582e-09 1.5286297719979951e-21
3.7516623767319613e-06 1.3912649470269584e-06 -3.3546827859390636e-09 -1.6795075157276674e-20
3.8156226193533105e-06 1.3770396191825595e-06 -2.8639331169883817e-09 6.9814043699475536e-21
3.8777769899774572e-06 1.3645019789807168e-06 -2.4297931685560169e-09 -1.3896634290890865e-22
3.9380703247224522e-06 1.3534353675668667e-06 -2.0473673096681285e-09 -1.1461414567534751e-20
3.9964411830431466e-06 1.3436538094009320e-06 -1.7121117767451773e-09 1.2573145310806021e-22
4.0528232269442704e-06 1.3349975371823003e-06 -1.4197995902466409e-09 4.1359030627651384e-21
4.1071464713991242e-06 1.3273291543699434e-06 -1.1664880089558046e-09 4.8969092263139238e-22
4.1593384153390506e-06 1.3205303621627389e-06 -9.4848945230720187e-10 1.3003279229333595e-20
4.2093250633148765e-06 1.3144991775993073e-06 -7.6234645399254384e-10 4.3873659689812588e-21
4.2570318478601273e-06 1.3091475756969387e-06 -6.0481083929996420e-10 1.3618701605073048e-20
4.3023844620490680e-06 1.3043994937855743e-06 -4.7282701945983180e-10 3.0043199847925965e-21
4.3453096109479828e-06 1.3001891450988385e-06 -3.6351926289834622e-10 1.1329065669526267e-20
4.3857356897627315e-06 1.2964595939278539e-06 -2.7418246505104061e-10 -2.6317578368987129e-20
